# Lego2STL colour cross-reference. Generated from the Rebrickable API; do not hand-edit.
# Regenerate with: lego2stl refresh-colors
# C lines are colours. M lines are the reverse map: scheme;code;rebrickable_id.
C;rebrickable_id;name;rgb;is_trans;bricklink_id;lego_id;ldraw_id;part_count
C;297;Pearl Gold;#AA7F2E;0;115;297;297;54651
C;308;Dark Brown;#352100;0;120;308;308;25286
C;313;Maersk Blue;#3592C3;0;72;;313;469
C;320;Dark Red;#720E0F;0;59;154;320;50525
C;321;Dark Azure;#078BC9;0;153;321;321;17647
C;322;Medium Azure;#36AEBF;0;156;322;322;31000
C;323;Light Aqua;#ADC3C0;0;152;323;323;10815
C;326;Olive Green;#9B9A5A;0;155;330;330;12065
C;334;Chrome Gold;#BBA53D;0;21;310;334;2202
C;335;Sand Red;#D67572;0;58;153;335;603
C;351;Medium Dark Pink;#F785B1;0;94;22;351;1093
C;366;Earth Orange;#FA9C1C;0;29;12;366;170
C;373;Sand Purple;#845E84;0;54;136;373;73
C;378;Sand Green;#A0BCAC;0;48;151;378;26181
C;379;Sand Blue;#6074A1;0;55;135;379;10608
C;383;Chrome Silver;#E0E0E0;0;22;309;383;1336
C;450;Fabuland Brown;#B67B50;0;106;4;450;56
C;462;Medium Orange;#FFA70B;0;31;105;462;491
C;484;Dark Orange;#A95500;0;68;38;484;28425
C;503;Very Light Gray;#E6E3DA;0;49;103;503;261
C;1000;Glow in Dark White;#D9D9D9;0;159;329;329;664
C;1001;Medium Violet;#9391E4;0;245;219;219;13
C;1002;Glitter Trans-Neon Green;#C0F500;1;163;339;339;9
C;1003;Glitter Trans-Light Blue;#68BCC5;1;162;302;302;91
C;1004;Trans-Flame Yellowish Orange;#FCB76D;1;164;231;231;214
C;1005;Trans-Fire Yellow;#FBE890;1;;234;234;41
C;1006;Trans-Light Royal Blue;#B4D4F7;1;;293;293;90
C;1007;Reddish Lilac;#8E5597;0;227;218;218;50
C;1008;Vintage Blue;#039CBD;0;;;;24
C;1009;Vintage Green;#1E601E;0;;;;32
C;1010;Vintage Red;#CA1F08;0;;;;31
C;1011;Vintage Yellow;#F3C305;0;;;;24
C;1012;Fabuland Orange;#EF9121;0;160;19;509;5
