# Lego2STL colour cross-reference. Generated from the Rebrickable API; do not hand-edit.
# Regenerate with: lego2stl refresh-colors
# C lines are colours. M lines are the reverse map: scheme;code;rebrickable_id.
C;rebrickable_id;name;rgb;is_trans;bricklink_id;lego_id;ldraw_id;part_count
M;Rebrickable;1060;1060
M;Rebrickable;1061;1061
M;Rebrickable;1062;1062
M;Rebrickable;1063;1063
M;Rebrickable;1064;1064
M;Rebrickable;1065;1065
M;Rebrickable;1066;1066
M;Rebrickable;1067;1067
M;Rebrickable;1068;1068
M;Rebrickable;1069;1069
M;Rebrickable;1070;1070
M;Rebrickable;1071;1071
M;Rebrickable;1072;1072
M;Rebrickable;1073;1073
M;Rebrickable;1074;1074
M;Rebrickable;1075;1075
M;Rebrickable;1076;1076
M;Rebrickable;1077;1077
M;Rebrickable;1078;1078
M;Rebrickable;1079;1079
M;Rebrickable;1080;1080
M;Rebrickable;1081;1081
M;Rebrickable;1082;1082
M;Rebrickable;1083;1083
M;Rebrickable;1084;1084
M;Rebrickable;1085;1085
M;Rebrickable;1086;1086
M;Rebrickable;1087;1087
M;Rebrickable;1088;1088
M;Rebrickable;1089;1089
M;Rebrickable;1090;1090
M;Rebrickable;1091;1091
M;Rebrickable;1092;1092
M;Rebrickable;1093;1093
M;Rebrickable;1094;1094
M;Rebrickable;1095;1095
M;Rebrickable;1096;1096
M;Rebrickable;1097;1097
M;Rebrickable;1098;1098
M;Rebrickable;1099;1099
M;Rebrickable;1100;1100
M;Rebrickable;1101;1101
M;Rebrickable;1102;1102
M;Rebrickable;1103;1103
M;Rebrickable;1104;1104
M;Rebrickable;1105;1105
M;Rebrickable;1106;1106
M;Rebrickable;1107;1107
M;Rebrickable;1108;1108
M;Rebrickable;1109;1109
M;Rebrickable;1110;1110
M;Rebrickable;1111;1111
M;Rebrickable;1112;1112
M;Rebrickable;1113;1113
M;Rebrickable;1114;1114
M;Rebrickable;1115;1115
M;Rebrickable;1116;1116
M;Rebrickable;1117;1117
M;Rebrickable;1118;1118
M;Rebrickable;1119;1119
M;Rebrickable;1120;1120
M;Rebrickable;1121;1121
M;Rebrickable;1122;1122
M;Rebrickable;1123;1123
M;Rebrickable;1124;1124
M;Rebrickable;1125;1125
M;Rebrickable;1126;1126
M;Rebrickable;1127;1127
M;Rebrickable;1128;1128
M;Rebrickable;1129;1129
M;Rebrickable;1130;1130
M;Rebrickable;1131;1131
M;Rebrickable;1132;1132
M;Rebrickable;1133;1133
M;Rebrickable;1134;1134
M;Rebrickable;1135;1135
M;Rebrickable;1136;1136
M;Rebrickable;1137;1137
M;Rebrickable;1138;1138
M;Rebrickable;1139;1139
M;Rebrickable;1140;1140
M;Rebrickable;1141;1141
M;Rebrickable;1142;1142
M;Rebrickable;1143;1143
M;Rebrickable;1144;1144
M;Rebrickable;1145;1145
M;Rebrickable;1146;1146
M;Rebrickable;1147;1147
M;Rebrickable;9999;9999
M;Lego;1;15
M;Lego;2;7
M;Lego;3;18
M;Lego;4;450
M;Lego;5;19
M;Lego;6;17
M;Lego;9;13
M;Lego;11;1051
M;Lego;12;366
M;Lego;13;1064
M;Lego;14;1077
M;Lego;15;1076
M;Lego;16;1087
M;Lego;17;77
M;Lego;18;92
M;Lego;19;1012
M;Lego;20;79
M;Lego;21;4
M;Lego;22;351
M;Lego;23;1
M;Lego;24;14
M;Lego;25;6
M;Lego;26;0
M;Lego;27;8
M;Lego;28;2
M;Lego;29;74
M;Lego;36;68
M;Lego;37;10
M;Lego;38;484
M;Lego;39;20
M;Lego;40;47
M;Lego;41;36
M;Lego;42;41
M;Lego;43;33
M;Lego;44;46
M;Lego;45;9
M;Lego;47;57
M;Lego;48;34
M;Lego;49;42
M;Lego;50;21
M;Lego;100;100
M;Lego;101;12
M;Lego;102;73
M;Lego;103;503
M;Lego;104;22
M;Lego;105;462
M;Lego;106;25
M;Lego;107;3
M;Lego;109;32
M;Lego;110;110
M;Lego;111;40
M;Lego;112;112
M;Lego;113;45
M;Lego;114;114
M;Lego;115;115
M;Lego;116;11
M;Lego;117;117
M;Lego;118;118
M;Lego;119;27
M;Lego;120;120
M;Lego;121;125
M;Lego;122;1143
M;Lego;123;1068
M;Lego;124;26
M;Lego;126;52
M;Lego;127;142
M;Lego;128;1067
M;Lego;129;129
M;Lego;131;135
M;Lego;133;1140
M;Lego;134;1141
M;Lego;135;379
M;Lego;136;373
M;Lego;138;28
M;Lego;139;134
M;Lego;140;272
M;Lego;141;288
M;Lego;143;143
M;Lego;144;1142
M;Lego;145;137
M;Lego;147;178
M;Lego;148;148
M;Lego;149;1073
M;Lego;150;150
M;Lego;151;378
M;Lego;153;335
M;Lego;154;320
M;Lego;155;1098
M;Lego;157;54
M;Lego;158;1102
M;Lego;175;1098
M;Lego;176;1083
M;Lego;178;1084
M;Lego;179;1085
M;Lego;180;1066
M;Lego;182;182
M;Lego;183;183
M;Lego;184;1069
M;Lego;185;1070
M;Lego;186;1071
M;Lego;187;1072
M;Lego;188;1074
M;Lego;189;1065
M;Lego;190;1100
M;Lego;191;191
M;Lego;192;70
M;Lego;194;71
M;Lego;195;89
M;Lego;196;23
M;Lego;197;1101
M;Lego;198;69
M;Lego;199;72
M;Lego;200;1086
M;Lego;208;151
M;Lego;210;1078
M;Lego;212;212
M;Lego;213;112
M;Lego;216;1081
M;Lego;217;86
M;Lego;218;1007
M;Lego;219;1001
M;Lego;220;1093
M;Lego;221;5
M;Lego;222;29
M;Lego;223;77
M;Lego;224;1080
M;Lego;225;1091
M;Lego;226;226
M;Lego;227;1057
M;Lego;229;43
M;Lego;230;230
M;Lego;231;1004
M;Lego;232;232
M;Lego;233;1079
M;Lego;234;1005
M;Lego;236;1094
M;Lego;268;85
M;Lego;269;1075
M;Lego;283;78
M;Lego;284;236
M;Lego;285;1058
M;Lego;293;1006
M;Lego;294;294
M;Lego;295;1082
M;Lego;296;135
M;Lego;297;297
M;Lego;298;80
M;Lego;299;82
M;Lego;300;1092
M;Lego;301;1099
M;Lego;302;1003
M;Lego;303;1097
M;Lego;304;132
M;Lego;305;133
M;Lego;306;75
M;Lego;308;308
M;Lego;309;383
M;Lego;310;334
M;Lego;311;35
M;Lego;312;84
M;Lego;315;179
M;Lego;316;1103
M;Lego;321;321
M;Lego;322;322
M;Lego;323;323
M;Lego;324;30
M;Lego;325;31
M;Lego;326;158
M;Lego;329;1000
M;Lego;330;326
M;Lego;334;1092
M;Lego;335;82
M;Lego;336;80
M;Lego;339;1002
M;Lego;341;1052
M;Lego;342;0
M;Lego;346;1063
M;Lego;351;1096
M;Lego;353;1050
M;Lego;355;32
M;Lego;360;1055
M;Lego;362;1053
M;Lego;363;1056
M;Lego;364;1054
M;Lego;365;1059
M;Lego;366;1061
M;Lego;367;1060
M;Lego;368;1062
M;Lego;370;1088
M;Lego;371;1089
M;Lego;375;1095
M;Lego;376;1139
M;Lego;402;1136
M;Lego;422;1137
M;Lego;423;1138
M;Lego;424;1145
M;Lego;428;272
M;Lego;430;1146
M;Lego;431;1147
M;Lego;491;322
M;LDraw;0;0
M;LDraw;1;1
M;LDraw;2;2
M;LDraw;3;3
M;LDraw;4;4
M;LDraw;5;5
M;LDraw;6;6
M;LDraw;7;7
M;LDraw;8;8
M;LDraw;9;9
M;LDraw;10;10
M;LDraw;11;11
M;LDraw;12;12
M;LDraw;13;13
M;LDraw;14;14
M;LDraw;15;15
M;LDraw;17;17
M;LDraw;18;18
M;LDraw;19;19
M;LDraw;20;20
M;LDraw;21;21
M;LDraw;22;22
M;LDraw;23;23
M;LDraw;25;25
M;LDraw;26;26
M;LDraw;27;27
M;LDraw;28;28
M;LDraw;29;29
M;LDraw;30;30
M;LDraw;31;31
M;LDraw;32;32
M;LDraw;33;33
M;LDraw;34;34
M;LDraw;35;35
M;LDraw;36;36
M;LDraw;37;45
M;LDraw;38;57
M;LDraw;39;43
M;LDraw;40;40
M;LDraw;41;143
M;LDraw;42;42
M;LDraw;43;41
M;LDraw;44;236
M;LDraw;45;230
M;LDraw;46;46
M;LDraw;47;47
M;LDraw;52;52
M;LDraw;54;54
M;LDraw;57;182
M;LDraw;60;60
M;LDraw;61;61
M;LDraw;62;62
M;LDraw;63;63
M;LDraw;64;64
M;LDraw;68;68
M;LDraw;69;69
M;LDraw;70;70
M;LDraw;71;71
M;LDraw;72;72
M;LDraw;73;73
M;LDraw;74;74
M;LDraw;75;75
M;LDraw;76;76
M;LDraw;77;77
M;LDraw;78;78
M;LDraw;79;79
M;LDraw;80;80
M;LDraw;81;81
M;LDraw;82;82
M;LDraw;83;1073
M;LDraw;84;84
M;LDraw;85;85
M;LDraw;86;86
M;LDraw;87;1103
M;LDraw;89;89
M;LDraw;92;92
M;LDraw;100;100
M;LDraw;110;110
M;LDraw;112;112
M;LDraw;114;114
M;LDraw;115;115
M;LDraw;117;117
M;LDraw;118;118
M;LDraw;120;120
M;LDraw;125;125
M;LDraw;128;1067
M;LDraw;129;129
M;LDraw;132;132
M;LDraw;133;133
M;LDraw;134;134
M;LDraw;135;135
M;LDraw;137;137
M;LDraw;142;142
M;LDraw;148;148
M;LDraw;150;150
M;LDraw;151;151
M;LDraw;158;1102
M;LDraw;178;178
M;LDraw;179;179
M;LDraw;183;183
M;LDraw;184;1069
M;LDraw;185;1070
M;LDraw;186;1071
M;LDraw;189;1065
M;LDraw;191;191
M;LDraw;200;1086
M;LDraw;212;212
M;LDraw;216;216
M;LDraw;218;1007
M;LDraw;219;1001
M;LDraw;226;226
M;LDraw;227;1057
M;LDraw;231;1004
M;LDraw;232;232
M;LDraw;234;1005
M;LDraw;256;0
M;LDraw;272;272
M;LDraw;284;236
M;LDraw;285;1058
M;LDraw;288;288
M;LDraw;293;1006
M;LDraw;294;294
M;LDraw;295;1082
M;LDraw;297;297
M;LDraw;300;1092
M;LDraw;302;1003
M;LDraw;308;308
M;LDraw;313;313
M;LDraw;320;320
M;LDraw;321;321
M;LDraw;322;322
M;LDraw;323;323
M;LDraw;326;158
M;LDraw;329;1000
M;LDraw;330;326
M;LDraw;334;334
M;LDraw;335;335
M;LDraw;339;1002
M;LDraw;341;1052
M;LDraw;351;351
M;LDraw;353;1050
M;LDraw;360;1055
M;LDraw;362;1053
M;LDraw;363;1056
M;LDraw;364;1054
M;LDraw;365;1059
M;LDraw;366;366
M;LDraw;367;1060
M;LDraw;368;1062
M;LDraw;370;1088
M;LDraw;371;1089
M;LDraw;373;373
M;LDraw;378;378
M;LDraw;379;379
M;LDraw;383;383
M;LDraw;402;1136
M;LDraw;422;1137
M;LDraw;423;1138
M;LDraw;430;1146
M;LDraw;431;1147
M;LDraw;450;450
M;LDraw;462;462
M;LDraw;484;484
M;LDraw;503;503
M;LDraw;508;1064
M;LDraw;509;1012
M;LDraw;510;1077
M;LDraw;10366;1061
M;LDraw;10375;1095
